ID,Title,Year,Journal,Species,Image
1,"Fish services to corals: a review of how coral-associated fishes benefit corals",2025,"Coral Reefs","Coral-associated fishes including damselfishes (Dascyllus marginatus, Dascyllus aruanus, Chromis viridis), grunts (Haemulidae), gobies, snappers, and their coral hosts including Acropora cervicornis, Stylophora pistillata, and Pocillopora sp.","chromis-acropora.jpeg"
2,"Coral guard crabs",2024,"Current Biology","Trapeziidae family crabs (over 20 species), Pocillopora corals, crown-of-thorns sea stars (Acanthaster planci), pincushion stars (Culcita novaeguineae)","trapezia-coral-crab-hiding.jpg"
3,"How fishes and invertebrates impact coral resilience",2024,"Current Biology","Trapeziidae family crabs and their coral hosts (primarily Pocillopora genus)","trapezia-coral-crab-red-spotted.jpg"
4,"The metabolic underpinnings of temperature-dependent predation in a key marine predator",2023,"Frontiers in Marine Science","California spiny lobster (Panulirus interruptus)","spiny-lobsters-group-reef-hideout.jpeg"
5,"3D photogrammetry improves measurement of growth and biodiversity patterns in branching corals",2023,"Coral Reefs","Pocillopora coral colonies","cauliflower-coral-damselfish-reef.jpeg"
6,"Variation in body size drives spatial and temporal variation in lobster–urchin interaction strength",2023,"Journal of Animal Ecology","Lobsters and sea urchins","lobster-in-underwater-trap-cage.jpeg"
7,"Material legacies can degrade resilience: Structure‐retaining disturbances promote regime shifts on coral reefs",2023,"Ecology","Coral reef ecosystems, corals, macroalgae","bleach-coral.jpeg"
8,"Cascading benefits of mutualists' predators on foundation species: A model inspired by coral reef ecosystems",2023,"Ecosphere","Pocillopora corals; hawkfish (Paracirrhites arcatus); yellow-tailed damselfish (Dascyllus flavicaudus); longface emperor (Lethrinus olivaceus)","Hawkf_Tetralia_rubridactyla.jpg"
9,"Remoteness does not enhance coral reef resilience",2022,"Global Change Biology","Coral reef communities","tropical-island-split-view-coral-reef-shark.jpeg"
10,"Fertilization by coral-dwelling fish promotes coral growth but can exacerbate bleaching response",2022,"Journal of Theoretical Biology","Scleractinian corals and coral-dwelling fish, particularly damselfish","damselfish-pair-pink-coral.jpeg"
11,"Glimmers of hope in large carnivore recoveries",2022,"Scientific Reports","Large carnivores; Marine mammals; Sharks; Rays; Terrestrial mammals","CheetahFam-1.jpg"
12,"Increasing spillover enhances southern California spiny lobster catch along marine reserve borders",2022,"Ecosphere","California spiny lobster (Panulirus interruptus)","lobster.jpeg"
13,"Detrital supply suppresses deforestation to maintain healthy kelp forest ecosystems",2022,"Ecology","Giant kelp (Macrocystis pyrifera); Red sea urchin (Mesocentrotus franciscanus); Purple sea urchin (Strongylocentrotus purpuratus)","kelp_canopy.jpg"
14,"How much city is too much city? Biodiversity and ecosystem functioning along an urban gradient at the interface of land and sea",2022,"Frontiers in Marine Science","Epibenthic invertebrate families, Pacific salmon (Oncorhynchus spp.)","seattle-urban-coastline.jpeg"
15,"Irreversibility of regime shifts in the North Sea",2022,"Frontiers in Marine Science","Marine ecosystem (plankton to fish)","norht-sea-fishing.jpeg"
16,"Avoiding critical thresholds through effective monitoring",2022,"Proceedings of the Royal Society B: Biological Sciences","Theoretical harvested population (fishery-inspired model applicable to wildlife and forestry resources)","rocky-beach-cove-panorama.jpeg"
17,"Variation in disturbance to a foundation species structures the dynamics of a benthic reef community",2021,"Ecology","Giant kelp (Macrocystis pyrifera); understory macroalgae; sessile invertebrates","kelp-hero.jpeg"
18,"On the Interface of Food Webs and Spatial Ecology: The Trophic Dimension of Species–Area Relationships",2021,"","No specific species studied - theoretical models","forested-islands-aerial-ocean-view.JPG"
19,"Effects of corallivory and coral colony density on coral growth and survival",2021,"Coral Reefs","Acropora pulchra (staghorn coral)","butterflyfish-eating-coral.jpeg"
20,"Evidence that spillover from Marine Protected Areas benefits the spiny lobster (Panulirus interruptus) fishery in southern California",2021,"Scientific Reports","California spiny lobster (Panulirus interruptus)","california-coastline-rocky-shore.jpg"
21,"Perception and Conflict in Conservation: The Rashomon Effect",2021,"BioScience","Not species-specific","conflict-image.jpg"
22,"Ecological impacts of an invasive mesopredator do not differ from those of a native mesopredator: lionfish in Caribbean Panama",2021,"Coral Reefs","lionfish (Pterois volitans/miles); graysby (Cephalopholis cruentata); hamlets (Hypoplectrus spp.); masked goby (Coryphopterus personatus)","lionfish-soft-coral.jpeg"
23,"Variation in herbivore grazing behavior across Caribbean reef sites",2021,"Marine Biology","Sparisoma viride and Scarus vetula (parrotfish species)","parrotfish.jpeg"
24,"Integrating oceans into climate policy: Any green new deal needs a splash of blue",2020,"Conservation Letters","","offshore-wind-farm.jpeg"
25,"Foundation species promote community stability by increasing diversity in a giant kelp forest",2020,"Ecology","Giant kelp (Macrocystis pyrifera), 114 species of understory algae and sessile invertebrates","giant-kelp-sunlight-underwater.jpeg"
26,"Spatial variation in exploited metapopulations obscures risk of collapse",2020,"Ecological Applications","Pacific herring (Clupea pallasii)","pacific-herring-net.jpeg"
27,"Fishing, environment, and the erosion of a population portfolio",2020,"Ecosphere","Pacific herring (Clupea pallasii)","fish-eggs-roe-hand-closeup.JPG"
28,"Ecological impacts of human‐induced animal behaviour change",2020,"Ecology Letters","Multiple species across terrestrial and aquatic ecosystems","coyote-road.jpeg"
29,"Grazing halos on coral reefs: predation risk, herbivore density, and habitat size influence grazing patterns that are visible from space",2019,"Marine Ecology Progress Series","Herbivorous reef fish and their predators","halo-grazing.png"
30,"Ocean recoveries for tomorrow’s Earth: Hitting a moving target",2019,"Science","North Atlantic right whales, marine species generally","whale-ship.jpeg"
31,"Strong Evidence for an Intraspecific Metabolic Scaling Coefficient Near 0.89 in Fish",2019,"Frontiers in Physiology","16 fish species across 55 independent trials","flatfish-flounder-camouflage-sand.JPG"
32,"ILTER – The International Long-Term Ecological Research Network as a Platform for Global Coastal and Ocean Observation",2019,"Frontiers in Marine Science","Marine ecosystems and coastal environments","ocean-wave-kelp-breaking.jpeg"
33,"Predator‐induced selection on urchin activity level depends on urchin body size",2019,"Ethology","Purple sea urchin (Strongylocentrotus purpuratus); California spiny lobster (Panulirus interruptus)","purple-urchin.jpeg"
34,"Temporal variation in dispersal modifies dispersal-diversity relationships in an experimental seagrass metacommunity",2019,"Marine Ecology Progress Series","Seagrass community organisms","seagrass.jpeg"
35,"Landscape configuration drives persistent spatial patterns of occupant distributions",2018,"Theoretical Ecology","General model applicable to marine and terrestrial systems","lorenz-attractor-abstract-art.jpeg"
36,"The relative influence of abundance and priority effects on colonization success in a coral-reef fish",2017,"Coral Reefs","Coral reef fish","dascyllus-damselfish-coral.jpeg"
37,"Costly stakeholder participation creates inertia in marine ecosystems",2017,"Marine Policy","Marine ecosystems generally","fishing-harbor-marina-mountains.JPG"
38,"Defining ecosystem thresholds for human activities and environmental pressures in the California Current",2017,"Ecosphere","Copepods, sea lions, scavengers, groundfish, marine mammals","ca-sealion.jpeg"
39,"Rapid and direct recoveries of predators and prey through synchronized ecosystem management",2017,"Nature Ecology & Evolution","Predator-prey systems generally","orca-pod.jpeg"
40,"Integrating Expert Perceptions into Food Web Conservation and Management",2017,"Conservation Letters","Pacific herring and associated food web species","whale-eating-herring.jpeg"
41,"Biodiversity effects of the predation gauntlet",2017,"Coral Reefs","Reef fish communities; Mesopredators (small groupers and snappers); Peacock grouper (Cephalopholis argus); Pacific lionfish (Pterois volitans and Pterois miles)","grouper.jpeg"
42,"Intraspecific variation in body size does not alter the effects of mesopredators on prey",2016,"Royal Society Open Science","Arc-eye hawkfish (Paracirrhites arcatus); Blue-green chromis (Chromis viridis); Yellowtail damselfish (Dascyllus flavicaudus)","hawkfish-perching.JPG"
43,"Conservation Challenges of Predator Recovery",2016,"Conservation Letters","Large marine and terrestrial predators","Leopard-1-2.jpg"
44,"Using rarefaction to isolate the effects of patch size and sampling effort on beta diversity",2016,"Ecosphere","Not specified - theoretical study","fish-biodiversity.jpeg"
45,"Ecosystem context and historical contingency in apex predator recoveries",2016,"Science Advances","Apex predators (wolves, sharks, bears, cougars, whales, eagles, sea otters, cheetahs, harbor seals)","blacktip-reef-sharks-split-view-island.jpeg"
46,"Mutualism in a community context",2015,"","Acacia drepanolobium trees, Crematogaster nigriceps ants, elephants, giraffes, corals, Symbiodinium algae","bee-pollination.jpeg"
47,"Adaptive genetic variation mediates bottom-up and top-down control in an aquatic ecosystem",2015,"Proceedings of the Royal Society B: Biological Sciences","Black cottonwood (Populus trichocarpa); Three-spined stickleback (Gasterosteus aculeatus); Aquatic invertebrates","stickleback.jpeg"
48,"Principles for managing marine ecosystems prone to tipping points",2015,"Ecosystem Health and Sustainability","Marine ecosystems broadly","kelp-forest-fish-school-underwater.jpeg"
49,"Experimentally induced metamorphosis in axolotls reduces regenerative rate and fidelity",2014,"Regeneration","Axolotl (Ambystoma mexicanum)","axolotl.JPG"
50,"Assessing trade-offs to inform ecosystem-based fisheries management of forage fish",2014,"Scientific Reports","Pacific herring","fishing-boat-seagulls-rocky-coast.jpeg"
51,"Predators alter community organization of coral reef cryptofauna and reduce abundance of coral mutualists",2014,"Coral Reefs","Pocillopora eydouxi; Neocirrhites armatus; Caracanthus maculatus; Trapezia; Alpheus","flame-hawkfish.jpg"
52,"Predator density and the functional responses of coral reef fish",2014,"Coral Reefs","Coral reef fish predators and their prey","schooling-jacks-fish-underwater.jpeg"
53,"Predation and landscape characteristics independently affect reef fish community organization",2014,"Ecology","Cephalopholis argus (grouper), coral reef fish communities","overwater-bungalows-split-view-reef-fish.jpeg"
54,"Larval dispersal drives trophic structure across Pacific coral reefs",2014,"Nature Communications","Coral reef fish (1,350 species analyzed)","aerial-view-island-lagoon-barrier-reef.jpeg"
55,"Ecologists should not use statistical significance tests to interpret simulation model results",2014,"Oikos","Various (including lobsters Jasus edwardsii, sea urchins Centrostephanus rodgersii, seaweeds Ecklonia radiata and Phyllospora comosa)","rocky-tidepool-coastline-sunset.jpg"
56,"Illegal shark fishing in the Galápagos Marine Reserve",2013,"Marine Policy","Pelagic thresher shark; Silky shark; Blue shark; Smooth hammerhead shark; Tiger shark; Galápagos shark; Short-fin mako shark","blacktip-reef-shark-swimming.jpg"
57,"Competitive hierarchies among three species of juvenile coral reef fishes",2013,"Marine Ecology Progress Series","Three juvenile wrasse species (Thalassoma)","fivestripewrasse.jpeg"
58,"Predator density and timing of arrival affect reef fish community assembly",2013,"Ecology","Hawkfish (Paracirrhites arcatus)","hawkfish-on-coral.jpeg"
59,"High Mortality in a Surgeonfish Following an Exceptional Settlement Event",2013,"Pacific Science","Striped bristletooth surgeonfish (Ctenochaetus striatus)","surgeonfish-settlers.JPG"
60,"Emergent effects of multiple predators on prey survival: the importance of depletion and the functional response",2012,"Ecology Letters","Multiple predator species; Prey species","manta-ray-silhouette-underwater.JPG"
61,"Multiple defender effects: synergistic coral defense by mutualist crustaceans",2012,"Oecologia","Trapezia serenei (crab); Alpheus lottini (snapping shrimp); Pocillopora cf. meandrina (coral); Culcita novaeguineae (sea star)","Arete indicus - ML.jpg"
62,"The influence of fundamental traits on mechanisms controlling appendage regeneration",2012,"Biological Reviews","Multiple species across animal kingdom including salamanders, fish, crustaceans, and echinoderms","axolotl-salamander-pink-portrait.jpg"
63,"Housekeeping Mutualisms: Do More Symbionts Facilitate Host Performance?",2012,"PLoS ONE","Pocillopora cf. verrucosa; Trapezia serenei; Alpheus lottini","red-spotted-coral-crab-macro.jpeg"
64,"The value of estuarine and coastal ecosystem services",2011,"Ecological Monographs","Various coastal and estuarine species","tropical-beach-palm-trees-waves.JPG"
65,"Coral density and predation affect growth of a reef-building coral",2011,"Coral Reefs","Massive Porites (species complex of P. lobata and P. lutea)","pufferfish.jpeg"
66,"Priority effects and habitat complexity affect the strength of competition",2010,"Oecologia","Five-lined wrasse (Thalassoma quinquevittatum)","thalassoma-staring.jpeg"
67,"Charismatic microfauna alter cyanobacterial production through a trophic cascade",2010,"Coral Reefs","Gymnodoris ceylonica (nudibranch); Stylocheilus striatus (sea hare); Lyngbya majuscula (cyanobacteria)","seahare.JPG"
68,"Predators reduce abundance and species richness of coral reef fish recruits via non-selective predation",2010,"Coral Reefs","Pocillopora cf. verrucosa (coral); Various coral reef fish families including Acanthuridae, Pomacentridae, Gobiidae, Labridae","bluefintrevally.jpeg"
69,"The vermetid gastropod <i>Dendropoma maximum</i> reduces coral growth and survival",2010,"Biology Letters","Dendropoma maximum; Porites lobata; Pocillopora; Porites rus; Montipora","deadcoral.jpeg"
70,"Propagule redirection: Habitat availability reduces colonization and increases recruitment in reef fishes",2010,"Ecology","Four reef fish species: Dascyllus aruanus, Dascyllus flavicaudus, Halichoeres trimaculatus, and Paragobiodon lacunicolus","blue-green-chromis-coral-school.JPG"
71,"Guard crabs alleviate deleterious effects of vermetid snails on a branching coral",2010,"Coral Reefs","Pocillopora coral; Trapezia serenei guard crabs; Dendropoma maximum vermetid snails","coral-guard-crab-red-spotted-macro.jpeg"
72,"Synthesizing mechanisms of density dependence in reef fishes: behavior, habitat configuration, and observational scale",2010,"Ecology","Reef fishes generally","damselfish-school-coral-reef.jpg"
73,"Effects of the fish anesthetic, clove oil (eugenol), on coral health and growth",2009,"Journal of Experimental Marine Biology and Ecology","Pocillopora coral","coral-polyps-extended-macro.jpg"
74,"Order of arrival affects competition in two reef fishes",2009,"Ecology","Thalassoma hardwicke; Thalassoma quinquevittatum","wrasse-6bar.jpeg"
75,"Coral reef fishes use crown-of-thorns seastar as habitat",2009,"Coral Reefs","Crown-of-thorns starfish (Acanthaster planci); Various small reef fish","crown-of-thorns.jpeg"
76,"Widespread Heterogeneity in Density-Dependent Mortality of Nearshore Fishes",2025,"Ecology Letters","38 species of reef fishes","barracuda-school-underwater-blue.jpg"
77,"Course corrections responding to climate impacts produce divergent effects on population biomass and harvest in fisheries",2025,"PLOS Climate","Generic harvested fish population","hurricane-earth-from-space.jpeg"
